"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2017-09-06",0,FALSE,"905523039256932352",TRUE,NA,NA,NA,NA,NA,2,FALSE,"SportsNut24","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @FlashScore2: #Rafa #Nadal dismantles Andrey #Rublev 6-1 6-2 6-2 to reach the 2017 #USOpen semi-finals! #ATP #Tennis  https://t.co/OPvEB…",FALSE
"2017-09-06",1,FALSE,"905522840031678465",FALSE,NA,NA,NA,NA,NA,0,FALSE,"sarahbrookes1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","And that was that. #rafa #USOpen <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>",FALSE
"2017-09-06",0,FALSE,"905522823971704833",FALSE,NA,NA,NA,NA,NA,0,FALSE,"ggmarquez","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#rublev Rubble
Unrelenting #Rafa shows he's got plenty ammo left for 'em upstarts
#USOpen",FALSE
"2017-09-06",0,FALSE,"905522666492264449",FALSE,"40.74988781","-73.84669408",NA,NA,NA,0,FALSE,"nishab74","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#rafa #matchpoint #usopen #usopen2017 #quarterfinals #poorrussian @bubblesbott  @usopen @ US… https://t.co/Gnl7YGvR95",FALSE
"2017-09-06",0,FALSE,"905522650520444928",FALSE,NA,NA,NA,NA,NA,0,FALSE,"artindira","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Some days are easy,on to the semis #Rafa #USOpen",FALSE
"2017-09-06",0,FALSE,"905522641519484928",FALSE,NA,NA,NA,NA,NA,0,FALSE,"romanzum","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Grande #Rafa pasa a semis del #USOpen",FALSE
"2017-09-06",0,FALSE,"905522617255374849",FALSE,NA,NA,NA,NA,NA,0,FALSE,"a3068731c51643b","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Well done my babbbyyy<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #USOpen #rafa<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> Semis babby @RafaelNadal<U+2764><U+2764><U+2764><U+2764><U+2764>",FALSE
"2017-09-06",0,FALSE,"905522541661474819",FALSE,NA,NA,NA,NA,NA,0,FALSE,"segconvocar","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","You are so great &amp; strong. Incredible WIN #RAFA @ #usopen tennis <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BC><ed><U+00BE><U+00BE><U+2139><ed><U+00A0><U+00BE><ed><U+00B4><U+0091><U+26A0> &lt;<ed><U+00A0><U+00BD><ed><U+00B1><U+0081>&gt;",FALSE
"2017-09-06",0,FALSE,"905522520807407618",FALSE,NA,NA,NA,NA,NA,0,FALSE,"vrj28","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","This man is a machine. Finishes a major quarter final in less than 100 minutes. @RafaelNadal at his best. #USOpen @usopen #rafa #rafanadal",FALSE
"2017-09-06",0,FALSE,"905522515925131264",FALSE,NA,NA,NA,NA,NA,0,FALSE,"sakshi2929","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The last time #Rafa reached the SF of #USOpen he won the championship (2013). #justsaying <ed><U+00A0><U+00BE><ed><U+00B4><U+0093> #VamosRafa",FALSE
"2017-09-06",0,FALSE,"905522506982883328",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Marketer79","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#RAFA see you in the semis! #USOpen",FALSE
"2017-09-06",0,FALSE,"905522378494558208",FALSE,NA,NA,NA,NA,NA,0,FALSE,"secularengineer","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Semis. #Rafa #Vamos #USOpen <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>",FALSE
"2017-09-06",6,FALSE,"905522352922005504",FALSE,NA,NA,NA,NA,NA,0,FALSE,"SianLaChamp","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shit hot &amp; into the semis <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
#Rafa #USOpen",FALSE
"2017-09-06",1,FALSE,"905522331593924609",FALSE,NA,NA,NA,NA,NA,2,FALSE,"FlashScore2","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#Rafa #Nadal dismantles Andrey #Rublev 6-1 6-2 6-2 to reach the 2017 #USOpen semi-finals! #ATP #Tennis… https://t.co/AeMpUdTNUL",TRUE
"2017-09-06",0,FALSE,"905519798641197056",FALSE,NA,NA,NA,"RafaelNadal","344634424",0,FALSE,"TajMohsin","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@RafaelNadal,The way you are playing today,play the same with Roger. That would be epic..Way to go Rafa #rafa #VamosRafa #rafanadal #USOpen",FALSE
